NtsbNo,EventType,EventDate,City,State,Country,N,HighestInjuryLevel,FatalInjuryCount,SeriousInjuryCount,MinorInjuryCount,ProbableCause,Latitude,Longitude,Make,Model,AirCraftCategory,AirportID,AirportName,AmateurBuilt,NumberOfEngines,Scheduled,PurposeOfFlight,FAR,AirCraftDamage,WeatherCondition,Operator,CoordSource
NYC66D0455,ACC,1966-01-09T05:00:00Z,NEWBURGH,New York,United States,N4821A,None,0,0,0,,40.6943,-73.9249,PIPER,PA-22,AIR,,MIDDLEHOPE AIRPRK,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
CHI66D0519,ACC,1966-01-09T05:00:00Z,RUSSELVILLE,Kentucky,United States,N5986E,None,0,0,0,,38.1663,-85.6485,CESSNA,150,AIR,,RUSSELLVILLE,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
LAX66D0217,ACC,1966-01-08T05:00:00Z,MOAPA,Nevada,United States,N4846E,None,0,0,0,,36.2333,-115.2654,AERONCA,7GC,AIR,,,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
MKC66D0379,ACC,1966-01-07T05:00:00Z,SO ST PAUL,Minnesota,United States,N6274W,None,0,0,0,,44.9635,-93.2678,PIPER,PA-28,AIR,,FLEMING,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
NYC66A0072,ACC,1966-01-07T05:00:00Z,HAMPTON,New Hampshire,United States,N8170W,None,0,0,0,,42.7491,-71.491,PIPER,PA-28,AIR,,HAMPTON,FALSE,1,,,,Substantial,VFR,RAMAPO VALLEY,state_centroid
CHI66A0062,ACC,1966-01-07T05:00:00Z,CASCADE,Michigan,United States,N8423P,Fatal,1,0,0,,42.3834,-83.1024,PIPER,PA-24,AIR,,KENT COUNTY,FALSE,1,,BUS,91,Destroyed,IFR,,state_centroid
NYC66F0407,ACC,1966-01-04T05:00:00Z,MILLINOCKET,Maine,United States,N6986W,None,0,0,0,,43.6773,-70.2715,PIPER,PA-28,AIR,,MILLINOCKET,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
CHI66F0527,ACC,1966-01-04T05:00:00Z,E ALTON,Illinois,United States,N3988U,None,0,0,0,,41.8375,-87.6866,CESSNA,150,AIR,,CIVIC MEMORIAL,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
MIA66F0382,ACC,1966-01-03T05:00:00Z,OVEIDA,Florida,United States,N2857H,None,0,0,0,,25.784,-80.2101,ERCOUPE,415-C,AIR,,FLG SEMINOLE RNCH,FALSE,1,,INST,91,Substantial,VFR,,state_centroid
CHI66F0490,ACC,1966-01-01T05:00:00Z,UNION LAKE,Michigan,United States,N6808K,Serious,0,1,2,,42.3834,-83.1024,PIPER,PA-16,AIR,,RICHARDSON FIELD,FALSE,1,,PERS,91,Substantial,VFR,,state_centroid
